item_id,item,stem,suffix,stem_freq,whole_word_freq,lsa_score,condition,word_status,cor_response
116,drawer,draw,er,2061,663,0.839454,high_lsa_high_freq,word,yes
170,concirlation,NA,ation,NA,NA,NA,non-word,non-word,no
170,spyger,NA,er,NA,NA,NA,non-word,non-word,no
170,ghoer,NA,er,NA,NA,NA,non-word,non-word,no
87,irritatable,irritate,able,48,74,0.692732,high_lsa_high_freq,word,yes
170,didaagness,NA,ness,NA,NA,NA,non-word,non-word,no
70,graceful,grace,ful,2157,118,0.735145,high_lsa_high_freq,word,yes
170,spixer,NA,er,NA,NA,NA,non-word,non-word,no
170,hainful,NA,ful,NA,NA,NA,non-word,non-word,no
30,disrespectful,disrespect,ful,267,105,0.491148,low_lsa_high_freq,word,yes
104,exclamation,exclaim,ation,7,28,0.764564,high_lsa_low_freq,word,yes
170,lampiness,NA,ness,NA,NA,NA,non-word,non-word,no
170,salictness,NA,ness,NA,NA,NA,non-word,non-word,no
10,payment,pay,ment,12985,538,0.484679,low_lsa_high_freq,word,yes
124,aggressive,aggress,ive,2,405,0.703994,high_lsa_high_freq,word,yes
90,successive,success,ive,1390,8,0.866684,high_lsa_low_freq,word,yes
170,repourceful,NA,ful,NA,NA,NA,non-word,non-word,no
76,preacher,preach,er,122,342,0.44493,low_lsa_high_freq,word,yes
136,consultation,consult,ation,285,64,0.729601,high_lsa_low_freq,word,yes
28,advancement,advance,ment,815,63,0.832681,high_lsa_low_freq,word,yes
106,happiness,happy,ness,16993,1249,0.434155,low_lsa_high_freq,word,yes
170,cauxer,NA,er,NA,NA,NA,non-word,non-word,no
170,osfactive,NA,ive,NA,NA,NA,non-word,non-word,no
68,banker,bank,er,4334,243,0.417712,low_lsa_high_freq,word,yes
170,loodful,NA,ful,NA,NA,NA,non-word,non-word,no
170,caupegity,NA,ity,NA,NA,NA,non-word,non-word,no
89,purity,pure,ity,1271,121,0.454315,low_lsa_high_freq,word,yes
120,renter,rent,er,1762,13,0.578389,low_lsa_low_freq,word,yes
170,purlentation,NA,ation,NA,NA,NA,non-word,non-word,no
170,irsilalable,NA,able,NA,NA,NA,non-word,non-word,no
170,giadility,NA,ity,NA,NA,NA,non-word,non-word,no
170,voserable,NA,able,NA,NA,NA,non-word,non-word,no
170,decothable,NA,able,NA,NA,NA,non-word,non-word,no
170,ampertive,NA,ive,NA,NA,NA,non-word,non-word,no
74,player,player,er,1926,1926,1.19E-07,low_lsa_high_freq,word,yes
59,diversity,diverse,ity,39,56,0.485618,low_lsa_low_freq,word,yes
75,adjustment,adjust,ment,287,158,0.469464,low_lsa_high_freq,word,yes
170,revagler,NA,er,NA,NA,NA,non-word,non-word,no
46,minority,minor,ity,654,113,0.942541,high_lsa_high_freq,word,yes
144,assertive,assert,ive,43,23,0.840499,high_lsa_low_freq,word,yes
170,stevenser,NA,er,NA,NA,NA,non-word,non-word,no
12,broiler,broil,er,15,10,0.725006,high_lsa_low_freq,word,yes
17,flexibility,flexible,ity,136,50,0.461795,low_lsa_low_freq,word,yes
170,corrititive,NA,ive,NA,NA,NA,non-word,non-word,no
157,enforcement,enforce,ment,86,339,0.517443,low_lsa_high_freq,word,yes
170,fenindment,NA,ment,NA,NA,NA,non-word,non-word,no
26,tolerable,tolerate,able,354,23,0.727233,high_lsa_low_freq,word,yes
22,drinkable,drink,able,12617,4,0.486828,low_lsa_low_freq,word,yes
170,coscitation,NA,ation,NA,NA,NA,non-word,non-word,no
86,helpful,help,ful,46977,619,0.664503,high_lsa_high_freq,word,yes
99,interpreter,interpret,er,125,91,0.726949,high_lsa_high_freq,word,yes
128,obesity,obese,ity,25,21,0.392873,low_lsa_low_freq,word,yes
39,manufacturer,manufacture,er,124,91,0.503128,low_lsa_high_freq,word,yes
170,coother,NA,er,NA,NA,NA,non-word,non-word,no
170,poparactness,NA,ness,NA,NA,NA,non-word,non-word,no
170,shulker,NA,er,NA,NA,NA,non-word,non-word,no
151,skier,ski,er,413,24,0.358462,low_lsa_low_freq,word,yes
25,sedative,sedate,ive,64,130,0.668603,high_lsa_high_freq,word,yes
20,handful,hand,ful,14262,291,0.812923,high_lsa_high_freq,word,yes
170,slastionable,NA,able,NA,NA,NA,non-word,non-word,no
170,cheacher,NA,er,NA,NA,NA,non-word,non-word,no
78,healer,heal,er,578,84,0.468674,low_lsa_high_freq,word,yes
23,amendment,amend,ment,38,209,0.528067,low_lsa_high_freq,word,yes
42,bidder,bid,er,642,88,0.459612,low_lsa_high_freq,word,yes
170,inclemptive,NA,ive,NA,NA,NA,non-word,non-word,no
170,meder,NA,er,NA,NA,NA,non-word,non-word,no
63,wiper,wipe,er,861,29,0.747373,high_lsa_low_freq,word,yes
170,dismingation,NA,ation,NA,NA,NA,non-word,non-word,no
51,mender,mend,er,133,1,0.704508,high_lsa_low_freq,word,yes
137,management,manage,ment,1095,594,0.756599,high_lsa_high_freq,word,yes
81,rider,ride,er,6904,393,0.492304,low_lsa_high_freq,word,yes
170,interchoter,NA,er,NA,NA,NA,non-word,non-word,no
66,dependable,depend,able,504,85,0.888208,high_lsa_high_freq,word,yes
102,hardness,hard,ness,15700,13,0.792451,high_lsa_low_freq,word,yes
170,dedearther,NA,er,NA,NA,NA,non-word,non-word,no
170,crightness,NA,ness,NA,NA,NA,non-word,non-word,no
170,anveanter,NA,er,NA,NA,NA,non-word,non-word,no
170,tisher,NA,er,NA,NA,NA,non-word,non-word,no
170,cimality,NA,ity,NA,NA,NA,non-word,non-word,no
140,employer,employ,er,171,274,0.781713,high_lsa_high_freq,word,yes
170,rerolvable,NA,able,NA,NA,NA,non-word,non-word,no
170,skutality,NA,ity,NA,NA,NA,non-word,non-word,no
170,relichment,NA,ment,NA,NA,NA,non-word,non-word,no
170,deniner,NA,er,NA,NA,NA,non-word,non-word,no
170,inbliration,NA,ation,NA,NA,NA,non-word,non-word,no
170,renecsive,NA,ive,NA,NA,NA,non-word,non-word,no
154,stressful,stress,ful,796,128,0.451341,low_lsa_high_freq,word,yes
170,smontation,NA,ion,NA,NA,NA,non-word,non-word,no
170,sindness,NA,ness,NA,NA,NA,non-word,non-word,no
170,shayer,NA,er,NA,NA,NA,non-word,non-word,no
113,adjustable,adjust,able,287,16,0.560539,low_lsa_low_freq,word,yes
61,community,commune,ity,67,1486,0.845078,high_lsa_high_freq,word,yes
170,smustful,NA,ful,NA,NA,NA,non-word,non-word,no
121,restrictive,restrict,ive,28,14,0.585062,low_lsa_low_freq,word,yes
170,senicement,NA,ment,NA,NA,NA,non-word,non-word,no
71,pigmentation,pigment,ation,15,16,0.432168,low_lsa_low_freq,word,yes
170,cleadurable,NA,able,NA,NA,NA,non-word,non-word,no
170,fojiness,NA,ness,NA,NA,NA,non-word,non-word,no
32,aggressiveness,aggressive,ness,405,20,0.457019,low_lsa_low_freq,word,yes
170,rehephable,NA,able,NA,NA,NA,non-word,non-word,no
170,dewosher,NA,er,NA,NA,NA,non-word,non-word,no
132,announcer,announce,er,498,574,0.820751,high_lsa_high_freq,word,yes
170,lumibacity,NA,ity,NA,NA,NA,non-word,non-word,no
98,narrative,narrate,ive,12,53,0.5313,low_lsa_low_freq,word,yes
65,programmer,program,er,2174,56,0.766529,high_lsa_low_freq,word,yes
33,banishment,banish,ment,69,10,0.716389,high_lsa_low_freq,word,yes
170,exptrepser,NA,er,NA,NA,NA,non-word,non-word,no
56,glassful,glass,ful,3096,3,0.568373,low_lsa_low_freq,word,yes
170,vencative,NA,ive,NA,NA,NA,non-word,non-word,no
72,suitable,suit,able,3499,247,0.745709,high_lsa_high_freq,word,yes
170,allunity,NA,ity,NA,NA,NA,non-word,non-word,no
57,endorsement,endorse,ment,88,71,0.441491,low_lsa_high_freq,word,yes
48,nimbleness,nimble,ness,30,1,0.702274,high_lsa_low_freq,word,yes
170,norpultable,NA,able,NA,NA,NA,non-word,non-word,no
170,vislener,NA,er,NA,NA,NA,non-word,non-word,no
170,resplintive,NA,ive,NA,NA,NA,non-word,non-word,no
170,dismescectful,NA,ful,NA,NA,NA,non-word,non-word,no
170,calser,NA,er,NA,NA,NA,non-word,non-word,no
5,separateness,separate,ness,1107,7,0.712596,high_lsa_low_freq,word,yes
170,prophigmner,NA,er,NA,NA,NA,non-word,non-word,no
58,kidnapper,kidnap,er,331,206,0.485359,low_lsa_high_freq,word,yes
170,crostful,NA,ful,NA,NA,NA,non-word,non-word,no
123,instinctive,instinct,ive,390,21,0.421646,low_lsa_low_freq,word,yes
170,hengful,NA,ful,NA,NA,NA,non-word,non-word,no
117,tearful,tear,ful,1377,22,0.817759,high_lsa_low_freq,word,yes
170,cuzer,NA,er,NA,NA,NA,non-word,non-word,no
109,recruiter,recruit,er,188,35,0.590534,low_lsa_low_freq,word,yes
83,mariner,marine,er,718,22,0.821086,high_lsa_low_freq,word,yes
97,aspiration,aspire,ation,55,29,0.709688,high_lsa_low_freq,word,yes
170,waucer,NA,er,NA,NA,NA,non-word,non-word,no
152,dispensation,dispense,ation,69,18,0.808528,high_lsa_low_freq,word,yes
170,cudacility,NA,ity,NA,NA,NA,non-word,non-word,no
91,forgettable,forget,able,14130,15,0.840276,high_lsa_low_freq,word,yes
1,civility,civil,ity,813,28,0.85032,high_lsa_low_freq,word,yes
170,brapment,NA,ment,NA,NA,NA,non-word,non-word,no
170,oadful,NA,ful,NA,NA,NA,non-word,non-word,no
101,newness,new,ness,36913,13,0.813611,high_lsa_low_freq,word,yes
110,artful,art,ful,3611,9,0.778248,high_lsa_low_freq,word,yes
103,reminder,remind,er,1883,192,0.47868,low_lsa_high_freq,word,yes
79,advisable,advise,able,622,40,0.59055,low_lsa_low_freq,word,yes
84,commander,command,er,2225,1887,0.409833,low_lsa_high_freq,word,yes
126,sniffer,sniff,er,181,17,0.554186,low_lsa_low_freq,word,yes
170,gyrness,NA,ness,NA,NA,NA,non-word,non-word,no
170,osicity,NA,ity,NA,NA,NA,non-word,non-word,no
11,clarification,clarify,ation,114,30,0.415897,low_lsa_low_freq,word,yes
49,dullness,dull,ness,616,7,0.512884,low_lsa_low_freq,word,yes
129,defective,defect,ive,126,110,0.446283,low_lsa_high_freq,word,yes
36,blazer,blaze,er,107,62,0.880298,high_lsa_low_freq,word,yes
170,suspissive,NA,ive,NA,NA,NA,non-word,non-word,no
170,pifority,NA,ity,NA,NA,NA,non-word,non-word,no
170,gurness,NA,ness,NA,NA,NA,non-word,non-word,no
170,imnination,NA,ation,NA,NA,NA,non-word,non-word,no
142,skillful,skill,ful,404,40,0.562685,low_lsa_low_freq,word,yes
170,engursement,NA,ment,NA,NA,NA,non-word,non-word,no
34,locker,locker,er,815,815,1.19E-07,low_lsa_high_freq,word,yes
131,cooperative,cooperate,ive,528,104,0.681439,high_lsa_high_freq,word,yes
170,senity,NA,ity,NA,NA,NA,non-word,non-word,no
18,constructive,construct,ive,74,111,0.914581,high_lsa_high_freq,word,yes
170,empaggatement,NA,ment,NA,NA,NA,non-word,non-word,no
50,objective,object,ive,1314,359,0.739571,high_lsa_high_freq,word,yes
47,modification,modify,ation,50,43,0.493219,low_lsa_low_freq,word,yes
94,rarity,rare,ity,1087,20,0.474831,low_lsa_low_freq,word,yes
170,adlusement,NA,ment,NA,NA,NA,non-word,non-word,no
130,fearful,fear,ful,3523,110,0.429036,low_lsa_high_freq,word,yes
170,ameful,NA,ful,NA,NA,NA,non-word,non-word,no
170,sonder,NA,er,NA,NA,NA,non-word,non-word,no
156,remarkable,remark,able,224,641,0.777872,high_lsa_high_freq,word,yes
170,whowdiness,NA,ness,NA,NA,NA,non-word,non-word,no
170,patterful,NA,ful,NA,NA,NA,non-word,non-word,no
170,admuthable,NA,able,NA,NA,NA,non-word,non-word,no
155,camper,camp,er,2612,73,0.709842,high_lsa_high_freq,word,yes
170,chimirility,NA,ity,NA,NA,NA,non-word,non-word,no
170,cloustable,NA,able,NA,NA,NA,non-word,non-word,no
170,resmeaner,NA,er,NA,NA,NA,non-word,non-word,no
52,listener,listen,er,27784,72,0.776686,high_lsa_high_freq,word,yes
145,liability,liable,ity,369,158,0.430274,low_lsa_high_freq,word,yes
73,remover,remove,er,1084,33,0.581856,low_lsa_low_freq,word,yes
170,toodful,NA,ful,NA,NA,NA,non-word,non-word,no
107,exploiter,exploit,er,125,3,0.70277,high_lsa_low_freq,word,yes
149,durability,durable,ity,18,11,0.435801,low_lsa_low_freq,word,yes
54,shipment,ship,ment,5043,322,0.701285,high_lsa_high_freq,word,yes
170,blardful,NA,ful,NA,NA,NA,non-word,non-word,no
122,confirmation,confirm,ation,736,280,0.437467,low_lsa_high_freq,word,yes
170,rireness,NA,ness,NA,NA,NA,non-word,non-word,no
170,jaxful,NA,ful,NA,NA,NA,non-word,non-word,no
146,flipper,flip,er,728,45,0.797055,high_lsa_low_freq,word,yes
93,easiness,easy,ness,13551,1,0.776529,high_lsa_low_freq,word,yes
170,sushful,NA,ful,NA,NA,NA,non-word,non-word,no
88,government,govern,ment,62,3327,0.728446,high_lsa_high_freq,word,yes
2,sincerity,sincere,ity,305,102,0.490683,low_lsa_high_freq,word,yes
170,nenteser,NA,er,NA,NA,NA,non-word,non-word,no
14,luminosity,luminous,ity,39,2,0.552656,low_lsa_low_freq,word,yes
77,combination,combine,ation,113,611,0.485057,low_lsa_high_freq,word,yes
170,draber,NA,er,NA,NA,NA,non-word,non-word,no
170,coanslative,NA,ive,NA,NA,NA,non-word,non-word,no
170,metter,NA,er,NA,NA,NA,non-word,non-word,no
62,boxer,box,er,4577,196,0.792659,high_lsa_high_freq,word,yes
69,favorable,favor,able,3609,55,0.708869,high_lsa_low_freq,word,yes
4,pretender,pretend,er,2056,94,0.840585,high_lsa_high_freq,word,yes
170,boaltiful,NA,ful,NA,NA,NA,non-word,non-word,no
170,corcarity,NA,ity,NA,NA,NA,non-word,non-word,no
170,adruchment,NA,ment,NA,NA,NA,non-word,non-word,no
125,sketcher,sketch,er,252,1,0.704617,high_lsa_low_freq,word,yes
170,asfesable,NA,able,NA,NA,NA,non-word,non-word,no
170,strumbful,NA,ful,NA,NA,NA,non-word,non-word,no
170,conhignation,NA,ation,NA,NA,NA,non-word,non-word,no
170,dumity,NA,ity,NA,NA,NA,non-word,non-word,no
170,symification,NA,ation,NA,NA,NA,non-word,non-word,no
170,photcher,NA,er,NA,NA,NA,non-word,non-word,no
44,establishment,establish,ment,323,210,0.693616,high_lsa_high_freq,word,yes
6,rudeness,rude,ness,1125,43,0.56882,low_lsa_low_freq,word,yes
143,rashness,rash,ness,410,3,0.754013,high_lsa_low_freq,word,yes
170,bosper,NA,er,NA,NA,NA,non-word,non-word,no
64,tracer,trace,er,989,86,0.662591,high_lsa_high_freq,word,yes
170,titable,NA,able,NA,NA,NA,non-word,non-word,no
119,breathable,breath,able,2291,14,0.804375,high_lsa_low_freq,word,yes
8,poacher,poach,er,17,26,0.810855,high_lsa_low_freq,word,yes
160,politeness,polite,ness,711,29,0.519907,low_lsa_low_freq,word,yes
170,hieser,NA,er,NA,NA,NA,non-word,non-word,no
170,panassment,NA,ment,NA,NA,NA,non-word,non-word,no
138,captivity,captive,ity,116,64,0.452042,low_lsa_low_freq,word,yes
147,punctuality,punctual,ity,57,33,0.42334,low_lsa_low_freq,word,yes
7,joyful,joy,ful,1456,76,0.478799,low_lsa_high_freq,word,yes
170,cailer,NA,er,NA,NA,NA,non-word,non-word,no
127,revolver,revolve,er,35,141,0.910548,high_lsa_high_freq,word,yes
37,gardener,garden,er,1354,214,0.464252,low_lsa_high_freq,word,yes
170,hycorable,NA,able,NA,NA,NA,non-word,non-word,no
170,agnishity,NA,ity,NA,NA,NA,non-word,non-word,no
67,defender,defend,er,959,152,0.708226,high_lsa_high_freq,word,yes
29,plantation,plant,ion,1408,170,0.736217,high_lsa_high_freq,word,yes
108,hurtful,hurt,ful,12564,58,0.590863,low_lsa_low_freq,word,yes
60,pleasurable,pleasure,able,4118,38,0.570742,low_lsa_low_freq,word,yes
43,barker,bark,er,280,149,0.936641,high_lsa_high_freq,word,yes
170,recurpment,NA,ment,NA,NA,NA,non-word,non-word,no
85,driver,drive,er,7810,2416,0.469503,low_lsa_high_freq,word,yes
170,prodymniation,NA,ation,NA,NA,NA,non-word,non-word,no
13,selective,select,ive,180,60,0.864551,high_lsa_low_freq,word,yes
100,sitter,sit,er,15879,80,0.834351,high_lsa_high_freq,word,yes
111,lovable,love,able,56864,91,0.667343,high_lsa_high_freq,word,yes
112,waiter,wait,er,42343,673,0.684105,high_lsa_high_freq,word,yes
158,laziness,lazy,ness,591,24,0.551664,low_lsa_low_freq,word,yes
170,quirger,NA,er,NA,NA,NA,non-word,non-word,no
153,causation,cause,ation,15812,9,0.789775,high_lsa_low_freq,word,yes
170,voveshment,NA,ment,NA,NA,NA,non-word,non-word,no
170,sunurullerer,NA,er,NA,NA,NA,non-word,non-word,no
170,rouringful,NA,ful,NA,NA,NA,non-word,non-word,no
170,minferity,NA,ity,NA,NA,NA,non-word,non-word,no
170,spasser,NA,er,NA,NA,NA,non-word,non-word,no
27,pronunciation,pronounce,ation,331,24,0.56751,low_lsa_low_freq,word,yes
139,immunity,immune,ity,221,216,0.528285,low_lsa_high_freq,word,yes
170,cafsation,NA,ation,NA,NA,NA,non-word,non-word,no
170,reronger,NA,er,NA,NA,NA,non-word,non-word,no
170,drarification,NA,ation,NA,NA,NA,non-word,non-word,no
170,admavation,NA,ation,NA,NA,NA,non-word,non-word,no
170,iddrarriveness,NA,ness,NA,NA,NA,non-word,non-word,no
159,inclination,incline,ation,19,42,0.701626,high_lsa_low_freq,word,yes
170,kibcipper,NA,er,NA,NA,NA,non-word,non-word,no
31,humanity,human,ity,6363,495,0.457214,low_lsa_high_freq,word,yes
170,huthful,NA,ful,NA,NA,NA,non-word,non-word,no
45,accusation,accuse,ation,290,143,0.507563,low_lsa_high_freq,word,yes
53,interviewer,interview,er,1505,22,0.41179,low_lsa_low_freq,word,yes
170,mimersity,NA,ity,NA,NA,NA,non-word,non-word,no
41,earful,ear,ful,1632,22,0.811812,high_lsa_low_freq,word,yes
141,witness,wit,ness,302,2621,0.917807,high_lsa_high_freq,word,yes
105,repairer,repair,er,450,1,0.552377,low_lsa_low_freq,word,yes
170,nascreness,NA,ness,NA,NA,NA,non-word,non-word,no
170,pabment,NA,ment,NA,NA,NA,non-word,non-word,no
38,refundable,refund,able,141,8,0.507182,low_lsa_low_freq,word,yes
21,casualness,casual,ness,373,1,0.721633,high_lsa_low_freq,word,yes
55,resourceful,resource,ful,83,74,0.86863,high_lsa_high_freq,word,yes
148,questionable,question,able,10116,117,0.873028,high_lsa_high_freq,word,yes
24,meaningful,meaning,ful,1904,176,0.703387,high_lsa_high_freq,word,yes
170,guler,NA,er,NA,NA,NA,non-word,non-word,no
35,announcement,announce,ment,498,525,0.499399,low_lsa_high_freq,word,yes
170,snankable,NA,able,NA,NA,NA,non-word,non-word,no
134,absurdity,absurd,ity,495,32,0.510777,low_lsa_low_freq,word,yes
170,sansfuolity,NA,ity,NA,NA,NA,non-word,non-word,no
135,declaration,declare,ation,386,180,0.48664,low_lsa_high_freq,word,yes
170,reinter,NA,er,NA,NA,NA,non-word,non-word,no
15,brightness,bright,ness,2265,30,0.569412,low_lsa_low_freq,word,yes
170,dedontive,NA,ive,NA,NA,NA,non-word,non-word,no
170,contesher,NA,er,NA,NA,NA,non-word,non-word,no
96,researcher,research,er,1688,38,0.467369,low_lsa_low_freq,word,yes
